C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1105
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1107
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1110
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1114
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1116
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1119
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1123
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1125
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1128
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1132
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1134
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1137
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1141
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1143
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1146
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1150
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1152
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1155
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1159
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1161
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1164
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1168
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1170
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1173
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1177
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1179
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1182
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1186
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1188
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1191
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1195
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1197
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1200
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1204
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1206
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1209
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1213
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1215
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1218
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1222
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1224
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1227
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1231
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1233
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1236
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1240
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1242
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1245
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1249
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1251
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1254
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1258
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1260
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1263
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1267
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1269
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1272
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1276
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1278
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1281
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1285
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1287
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1290
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1294
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1296
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1299
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1303
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1305
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1308
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1312
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1314
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1317
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1321
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1323
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1326
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1330
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1332
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1335
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1339
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1341
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1344
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1348
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1350
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1353
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1357
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1359
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1362
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1366
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1368
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1371
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1375
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1377
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1380
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1384
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1386
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1389
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1393
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1395
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1398
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1402
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1404
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1407
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1411
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1413
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1416
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1420
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1422
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1425
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1429
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1431
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1434
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1438
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1440
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1443
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1447
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1449
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1452
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1456
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1458
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1461
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1465
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1467
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1470
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1474
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1476
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1479
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1483
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1485
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1488
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1492
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1494
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1497
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1501
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1503
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1506
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1510
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1512
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1515
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1519
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1521
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1524
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1528
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1530
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1533
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1537
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1539
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1542
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1546
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1548
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1551
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1555
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1557
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1560
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1564
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1566
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1569
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1573
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1575
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1578
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1582
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1584
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1587
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1591
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1593
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1596
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1600
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1602
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1605
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1609
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1611
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1614
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1618
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1620
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1623
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1627
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1629
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1632
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1636
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1638
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1641
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1645
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1647
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1650
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1654
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1656
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1659
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1663
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1665
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1668
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1672
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1674
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1677
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1681
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1683
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1686
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1690
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1692
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1695
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1699
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1701
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1704
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1708
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1710
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1713
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1717
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1719
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1722
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1726
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1728
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1731
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1735
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1737
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1740
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1744
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1746
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1749
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1753
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1755
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1758
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1762
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1764
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1767
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1771
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1773
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1776
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1780
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1782
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1785
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1789
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1791
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1794
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1798
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1800
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1803
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1807
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1809
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1812
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1816
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1818
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1821
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1825
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1827
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1830
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1834
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1836
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1839
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1843
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1845
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1848
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1852
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1854
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1857
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1861
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1863
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1866
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1870
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1872
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1875
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1879
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1881
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1884
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1888
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1890
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1893
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1897
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1899
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1902
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1906
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1908
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1911
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1915
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1917
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1920
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1924
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1926
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1929
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1933
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1935
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1938
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1942
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1944
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1947
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1951
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1953
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1956
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1960
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1962
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1965
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1969
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1971
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1974
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1978
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1980
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1983
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1987
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1989
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:1992
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:1996
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:1998
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2001
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2005
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2007
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2010
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2014
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2016
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2019
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2023
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2025
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2028
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2032
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2034
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2037
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2041
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2043
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2046
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2050
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2052
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2055
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2059
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2061
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2064
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2068
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2070
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2073
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2077
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2079
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2082
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2086
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2088
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2091
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2095
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2097
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2100
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2104
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2106
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2109
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2113
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2115
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2118
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2122
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2124
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2127
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2131
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2133
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2136
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2140
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2142
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2145
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2149
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2151
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2154
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2158
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2160
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2163
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2167
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2169
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2172
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2176
